C-ZLFMONAT-0,C-ZLFE32-0,C-ZLFART-0,C-ZLFR63-0,F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
200001,VIE,1,1,6351,316670,3743524,219204,0,2000,1
200001,VIE,1,2,6376,325509,4000620,365309,325509,2000,1
200001,VIE,1,3,0,6634,150274,14860,0,2000,1
200001,VIE,2,1,355,20503,463078,68,0,2000,1
200001,VIE,2,2,346,20965,412342,61,20965,2000,1
200001,VIE,2,3,0,2302,136417,472,0,2000,1
200001,GRZ,1,1,464,13887,66281,198,0,2000,1
200001,GRZ,1,2,447,14327,44842,0,14327,2000,1
200001,GRZ,1,3,0,284,25,0,0,2000,1
200001,GRZ,2,1,50,2504,0,0,0,2000,1
200001,GRZ,2,2,64,2421,0,0,2421,2000,1
200001,GRZ,2,3,0,623,0,0,0,2000,1
200001,INN,1,1,440,12829,32828,9678,0,2000,1
200001,INN,1,2,446,14413,17100,8807,14413,2000,1
200001,INN,1,3,0,163,0,0,0,2000,1
200001,INN,2,1,210,21020,150,0,0,2000,1
200001,INN,2,2,207,18611,0,0,18611,2000,1
200001,INN,2,3,0,193,0,0,0,2000,1
200001,KLU,1,1,248,5698,4932,0,0,2000,1
200001,KLU,1,2,251,6519,3274,0,6519,2000,1
200001,KLU,2,1,21,696,0,0,0,2000,1
200001,KLU,2,2,18,472,0,0,472,2000,1
200001,KLU,2,3,0,509,0,0,0,2000,1
200001,LNZ,1,1,494,10785,51496,4018,0,2000,1
200001,LNZ,1,2,492,11433,26883,0,11433,2000,1
200001,LNZ,1,3,0,1391,100,0,0,2000,1
200001,LNZ,2,1,94,4674,62289,0,0,2000,1
200001,LNZ,2,2,98,4288,45404,0,4288,2000,1
200001,LNZ,2,3,0,1094,0,0,0,2000,1
200001,SZG,1,1,667,20662,26968,5917,0,2000,1
200001,SZG,1,2,662,23726,26974,6017,23726,2000,1
200001,SZG,1,3,0,2079,831,630,0,2000,1
200001,SZG,2,1,235,29668,0,0,0,2000,1
200001,SZG,2,2,240,24970,0,0,24970,2000,1
200001,SZG,2,3,0,2695,342,0,0,2000,1
200002,VIE,1,1,6388,340394,4081332,219816,0,2000,2
200002,VIE,1,2,6385,339228,4579638,362062,339228,2000,2
200002,VIE,1,3,0,6086,303826,16120,0,2000,2
200002,VIE,2,1,354,23342,66350,245,0,2000,2
200002,VIE,2,2,358,24732,48378,1,24732,2000,2
200002,VIE,2,3,0,2966,23638,840,0,2000,2
200002,GRZ,1,1,465,16723,79539,315,0,2000,2
200002,GRZ,1,2,461,16973,62100,0,16973,2000,2
200002,GRZ,1,3,0,218,0,0,0,2000,2
200002,GRZ,2,1,55,3898,87,0,0,2000,2
200002,GRZ,2,2,58,4180,1060,0,4180,2000,2
200002,GRZ,2,3,0,781,0,0,0,2000,2
200002,INN,1,1,429,14438,37957,10772,0,2000,2
200002,INN,1,2,432,14361,22657,6470,14361,2000,2
200002,INN,1,3,0,91,0,0,0,2000,2
200002,INN,2,1,200,20756,0,0,0,2000,2
200002,INN,2,2,195,21080,0,235,21080,2000,2
200002,INN,2,3,0,263,0,0,0,2000,2
200002,KLU,1,1,268,7001,5759,0,0,2000,2
200002,KLU,1,2,272,7077,2180,0,7077,2000,2
200002,KLU,2,1,21,814,0,0,0,2000,2
200002,KLU,2,2,17,957,0,0,957,2000,2
200002,KLU,2,3,0,601,6527,0,0,2000,2
200002,LNZ,1,1,490,13213,61847,4826,0,2000,2
200002,LNZ,1,2,497,13204,22560,194,13204,2000,2
200002,LNZ,1,3,0,1283,231,82,0,2000,2
200002,LNZ,2,1,121,6245,72503,0,0,2000,2
200002,LNZ,2,2,114,6463,45227,0,6463,2000,2
200002,LNZ,2,3,0,1491,0,0,0,2000,2
200002,SZG,1,1,673,23691,22484,6804,0,2000,2
200002,SZG,1,2,667,23318,27613,5991,23318,2000,2
200002,SZG,1,3,0,2537,5980,373,0,2000,2
200002,SZG,2,1,259,34333,0,0,0,2000,2
200002,SZG,2,2,265,34128,243,0,34128,2000,2
200002,SZG,2,3,0,2827,0,0,0,2000,2
200003,VIE,1,1,7055,412956,4739789,237467,0,2000,3
200003,VIE,1,2,7064,407828,5335170,383339,407828,2000,3
200003,VIE,1,3,0,7349,199924,14132,0,2000,3
200003,VIE,2,1,407,25962,573353,0,0,2000,3
200003,VIE,2,2,397,27932,424602,0,27932,2000,3
200003,VIE,2,3,0,2724,25417,1,0,2000,3
200003,GRZ,1,1,535,17958,71395,357,0,2000,3
200003,GRZ,1,2,533,17717,56347,0,17717,2000,3
200003,GRZ,1,3,0,203,0,0,0,2000,3
200003,GRZ,2,1,49,3284,250,0,0,2000,3
200003,GRZ,2,2,50,3529,2150,0,3529,2000,3
200003,GRZ,2,3,0,835,0,0,0,2000,3
200003,INN,1,1,498,15475,36206,9257,0,2000,3
200003,INN,1,2,494,16267,25949,7391,16267,2000,3
200003,INN,1,3,0,29,0,0,0,2000,3
200003,INN,2,1,171,15205,0,0,0,2000,3
200003,INN,2,2,173,18693,0,0,18693,2000,3
200003,INN,2,3,0,224,0,0,0,2000,3
200003,KLU,1,1,293,7598,5144,0,0,2000,3
200003,KLU,1,2,295,7592,2627,0,7592,2000,3
200003,KLU,2,1,13,480,0,0,0,2000,3
200003,KLU,2,2,11,631,0,0,631,2000,3
200003,KLU,2,3,0,299,0,0,0,2000,3
200003,LNZ,1,1,559,14399,49623,6046,0,2000,3
200003,LNZ,1,2,566,14110,15249,0,14110,2000,3
