C-ZLFMONAT-0,C-ZLFE32-0,C-ZLFART-0,C-ZLFR63-0
200001,VIE,1,1
200001,VIE,1,2
200001,VIE,1,3
200001,VIE,2,1
200001,VIE,2,2
200001,VIE,2,3
200001,GRZ,1,1
200001,GRZ,1,2
200001,GRZ,1,3
200001,GRZ,2,1
200001,GRZ,2,2
200001,GRZ,2,3
200001,INN,1,1
200001,INN,1,2
200001,INN,1,3
200001,INN,2,1
200001,INN,2,2
200001,INN,2,3
200001,KLU,1,1
200001,KLU,1,2
200001,KLU,2,1
200001,KLU,2,2
200001,KLU,2,3
200001,LNZ,1,1
200001,LNZ,1,2
200001,LNZ,1,3
200001,LNZ,2,1
200001,LNZ,2,2
200001,LNZ,2,3
200001,SZG,1,1
200001,SZG,1,2
200001,SZG,1,3
200001,SZG,2,1
200001,SZG,2,2
200001,SZG,2,3
200002,VIE,1,1
200002,VIE,1,2
200002,VIE,1,3
200002,VIE,2,1
200002,VIE,2,2
200002,VIE,2,3
200002,GRZ,1,1
200002,GRZ,1,2
200002,GRZ,1,3
200002,GRZ,2,1
200002,GRZ,2,2
200002,GRZ,2,3
200002,INN,1,1
200002,INN,1,2
200002,INN,1,3
200002,INN,2,1
200002,INN,2,2
200002,INN,2,3
200002,KLU,1,1
200002,KLU,1,2
200002,KLU,2,1
200002,KLU,2,2
200002,KLU,2,3
200002,LNZ,1,1
200002,LNZ,1,2
200002,LNZ,1,3
200002,LNZ,2,1
200002,LNZ,2,2
200002,LNZ,2,3
200002,SZG,1,1
200002,SZG,1,2
200002,SZG,1,3
200002,SZG,2,1
200002,SZG,2,2
200002,SZG,2,3
200003,VIE,1,1
200003,VIE,1,2
200003,VIE,1,3
200003,VIE,2,1
200003,VIE,2,2
200003,VIE,2,3
200003,GRZ,1,1
200003,GRZ,1,2
200003,GRZ,1,3
200003,GRZ,2,1
200003,GRZ,2,2
200003,GRZ,2,3
200003,INN,1,1
200003,INN,1,2
200003,INN,1,3
200003,INN,2,1
200003,INN,2,2
200003,INN,2,3
200003,KLU,1,1
200003,KLU,1,2
200003,KLU,2,1
200003,KLU,2,2
200003,KLU,2,3
200003,LNZ,1,1
200003,LNZ,1,2
200003,LNZ,1,3
200003,LNZ,2,1
200003,LNZ,2,2
200003,LNZ,2,3
200003,SZG,1,1
200003,SZG,1,2
200003,SZG,1,3
200003,SZG,2,1
200003,SZG,2,2
200003,SZG,2,3
200004,VIE,1,1
200004,VIE,1,2
200004,VIE,1,3
200004,VIE,2,1
200004,VIE,2,2
200004,VIE,2,3
200004,GRZ,1,1
200004,GRZ,1,2
200004,GRZ,1,3
200004,GRZ,2,1
200004,GRZ,2,2
200004,GRZ,2,3
200004,INN,1,1
200004,INN,1,2
200004,INN,1,3
200004,INN,2,1
200004,INN,2,2
200004,INN,2,3
200004,KLU,1,1
200004,KLU,1,2
200004,KLU,2,1
200004,KLU,2,2
200004,KLU,2,3
200004,LNZ,1,1
200004,LNZ,1,2
200004,LNZ,1,3
200004,LNZ,2,1
200004,LNZ,2,2
200004,LNZ,2,3
200004,SZG,1,1
200004,SZG,1,2
200004,SZG,1,3
200004,SZG,2,1
200004,SZG,2,2
200004,SZG,2,3
200005,VIE,1,1
200005,VIE,1,2
200005,VIE,1,3
200005,VIE,2,1
200005,VIE,2,2
200005,VIE,2,3
200005,GRZ,1,1
200005,GRZ,1,2
200005,GRZ,1,3
200005,GRZ,2,1
200005,GRZ,2,2
200005,GRZ,2,3
200005,INN,1,1
200005,INN,1,2
200005,INN,1,3
200005,INN,2,1
200005,INN,2,2
200005,INN,2,3
200005,KLU,1,1
200005,KLU,1,2
200005,KLU,2,1
200005,KLU,2,2
200005,KLU,2,3
200005,LNZ,1,1
200005,LNZ,1,2
200005,LNZ,1,3
200005,LNZ,2,1
200005,LNZ,2,2
200005,LNZ,2,3
200005,SZG,1,1
200005,SZG,1,2
200005,SZG,1,3
200005,SZG,2,1
200005,SZG,2,2
200005,SZG,2,3
200006,VIE,1,1
200006,VIE,1,2
200006,VIE,1,3
200006,VIE,2,1
200006,VIE,2,2
200006,VIE,2,3
200006,GRZ,1,1
200006,GRZ,1,2
200006,GRZ,1,3
200006,GRZ,2,1
200006,GRZ,2,2
200006,GRZ,2,3
200006,INN,1,1
200006,INN,1,2
200006,INN,1,3
200006,INN,2,1
200006,INN,2,2
200006,INN,2,3
200006,KLU,1,1
200006,KLU,1,2
200006,KLU,1,3
200006,KLU,2,1
200006,KLU,2,2
200006,KLU,2,3
200006,LNZ,1,1
200006,LNZ,1,2
200006,LNZ,1,3
200006,LNZ,2,1
200006,LNZ,2,2
200006,LNZ,2,3
200006,SZG,1,1
200006,SZG,1,2
200006,SZG,1,3
200006,SZG,2,1
200006,SZG,2,2
200006,SZG,2,3
200007,VIE,1,1
200007,VIE,1,2
200007,VIE,1,3
200007,VIE,2,1
200007,VIE,2,2
200007,VIE,2,3
200007,GRZ,1,1
200007,GRZ,1,2
200007,GRZ,1,3
200007,GRZ,2,1
200007,GRZ,2,2
200007,GRZ,2,3
200007,INN,1,1
200007,INN,1,2
200007,INN,1,3
200007,INN,2,1
200007,INN,2,2
200007,INN,2,3
200007,KLU,1,1
200007,KLU,1,2
200007,KLU,2,1
200007,KLU,2,2
200007,KLU,2,3
200007,LNZ,1,1
200007,LNZ,1,2
200007,LNZ,1,3
200007,LNZ,2,1
200007,LNZ,2,2
200007,LNZ,2,3
200007,SZG,1,1
200007,SZG,1,2
200007,SZG,1,3
200007,SZG,2,1
200007,SZG,2,2
200007,SZG,2,3
200008,VIE,1,1
200008,VIE,1,2
200008,VIE,1,3
200008,VIE,2,1
200008,VIE,2,2
200008,VIE,2,3
200008,GRZ,1,1
200008,GRZ,1,2
200008,GRZ,1,3
200008,GRZ,2,1
200008,GRZ,2,2
200008,GRZ,2,3
200008,INN,1,1
200008,INN,1,2
200008,INN,1,3
200008,INN,2,1
200008,INN,2,2
200008,INN,2,3
200008,KLU,1,1
200008,KLU,1,2
200008,KLU,2,1
200008,KLU,2,2
200008,KLU,2,3
200008,LNZ,1,1
200008,LNZ,1,2
200008,LNZ,1,3
200008,LNZ,2,1
200008,LNZ,2,2
200008,LNZ,2,3
200008,SZG,1,1
200008,SZG,1,2
200008,SZG,1,3
200008,SZG,2,1
200008,SZG,2,2
200008,SZG,2,3
200009,VIE,1,1
200009,VIE,1,2
200009,VIE,1,3
200009,VIE,2,1
200009,VIE,2,2
200009,VIE,2,3
200009,GRZ,1,1
200009,GRZ,1,2
200009,GRZ,1,3
200009,GRZ,2,1
200009,GRZ,2,2
200009,GRZ,2,3
200009,INN,1,1
200009,INN,1,2
200009,INN,1,3
200009,INN,2,1
200009,INN,2,2
200009,INN,2,3
200009,KLU,1,1
200009,KLU,1,2
200009,KLU,2,1
200009,KLU,2,2
200009,KLU,2,3
200009,LNZ,1,1
200009,LNZ,1,2
200009,LNZ,1,3
200009,LNZ,2,1
200009,LNZ,2,2
200009,LNZ,2,3
200009,SZG,1,1
200009,SZG,1,2
200009,SZG,1,3
200009,SZG,2,1
200009,SZG,2,2
200009,SZG,2,3
200010,VIE,1,1
200010,VIE,1,2
200010,VIE,1,3
200010,VIE,2,1
200010,VIE,2,2
200010,VIE,2,3
200010,GRZ,1,1
200010,GRZ,1,2
200010,GRZ,1,3
200010,GRZ,2,1
200010,GRZ,2,2
200010,GRZ,2,3
200010,INN,1,1
200010,INN,1,2
200010,INN,1,3
200010,INN,2,1
200010,INN,2,2
200010,INN,2,3
200010,KLU,1,1
200010,KLU,1,2
200010,KLU,2,1
200010,KLU,2,2
200010,KLU,2,3
200010,LNZ,1,1
200010,LNZ,1,2
200010,LNZ,1,3
200010,LNZ,2,1
200010,LNZ,2,2
200010,LNZ,2,3
200010,SZG,1,1
200010,SZG,1,2
200010,SZG,1,3
200010,SZG,2,1
200010,SZG,2,2
200010,SZG,2,3
200011,VIE,1,1
200011,VIE,1,2
200011,VIE,1,3
200011,VIE,2,1
200011,VIE,2,2
200011,VIE,2,3
200011,GRZ,1,1
200011,GRZ,1,2
200011,GRZ,1,3
200011,GRZ,2,1
200011,GRZ,2,2
200011,GRZ,2,3
200011,INN,1,1
200011,INN,1,2
200011,INN,1,3
200011,INN,2,1
200011,INN,2,2
200011,INN,2,3
200011,KLU,1,1
200011,KLU,1,2
200011,KLU,2,1
200011,KLU,2,2
200011,LNZ,1,1
200011,LNZ,1,2
200011,LNZ,1,3
200011,LNZ,2,1
200011,LNZ,2,2
200011,LNZ,2,3
200011,SZG,1,1
200011,SZG,1,2
200011,SZG,1,3
200011,SZG,2,1
200011,SZG,2,2
200011,SZG,2,3
200012,VIE,1,1
200012,VIE,1,2
200012,VIE,1,3
200012,VIE,2,1
200012,VIE,2,2
200012,VIE,2,3
200012,GRZ,1,1
200012,GRZ,1,2
200012,GRZ,1,3
200012,GRZ,2,1
200012,GRZ,2,2
200012,GRZ,2,3
200012,INN,1,1
200012,INN,1,2
200012,INN,1,3
200012,INN,2,1
200012,INN,2,2
200012,INN,2,3
200012,KLU,1,1
200012,KLU,1,2
200012,KLU,2,1
200012,KLU,2,2
200012,LNZ,1,1
200012,LNZ,1,2
200012,LNZ,1,3
200012,LNZ,2,1
200012,LNZ,2,2
200012,LNZ,2,3
200012,SZG,1,1
200012,SZG,1,2
200012,SZG,1,3
200012,SZG,2,1
200012,SZG,2,2
200012,SZG,2,3
200101,VIE,1,1
200101,VIE,1,2
200101,VIE,1,3
200101,VIE,2,1
200101,VIE,2,2
200101,VIE,2,3
200101,GRZ,1,1
200101,GRZ,1,2
200101,GRZ,1,3
200101,GRZ,2,1
200101,GRZ,2,2
200101,GRZ,2,3
200101,INN,1,1
200101,INN,1,2
200101,INN,1,3
200101,INN,2,1
200101,INN,2,2
200101,INN,2,3
200101,KLU,1,1
200101,KLU,1,2
200101,KLU,2,1
200101,KLU,2,2
200101,KLU,2,3
200101,LNZ,1,1
200101,LNZ,1,2
200101,LNZ,1,3
200101,LNZ,2,1
200101,LNZ,2,2
200101,LNZ,2,3
200101,SZG,1,1
200101,SZG,1,2
200101,SZG,1,3
200101,SZG,2,1
200101,SZG,2,2
200101,SZG,2,3
200102,VIE,1,1
200102,VIE,1,2
200102,VIE,1,3
200102,VIE,2,1
200102,VIE,2,2
200102,VIE,2,3
200102,GRZ,1,1
200102,GRZ,1,2
200102,GRZ,1,3
200102,GRZ,2,1
200102,GRZ,2,2
200102,GRZ,2,3
200102,INN,1,1
200102,INN,1,2
200102,INN,1,3
200102,INN,2,1
200102,INN,2,2
200102,INN,2,3
200102,KLU,1,1
200102,KLU,1,2
200102,KLU,1,3
200102,KLU,2,1
200102,KLU,2,2
200102,LNZ,1,1
200102,LNZ,1,2
200102,LNZ,1,3
200102,LNZ,2,1
200102,LNZ,2,2
200102,LNZ,2,3
200102,SZG,1,1
200102,SZG,1,2
200102,SZG,1,3
200102,SZG,2,1
200102,SZG,2,2
200102,SZG,2,3
200103,VIE,1,1
200103,VIE,1,2
200103,VIE,1,3
200103,VIE,2,1
200103,VIE,2,2
200103,VIE,2,3
200103,GRZ,1,1
200103,GRZ,1,2
200103,GRZ,1,3
200103,GRZ,2,1
200103,GRZ,2,2
200103,GRZ,2,3
200103,INN,1,1
200103,INN,1,2
200103,INN,1,3
200103,INN,2,1
200103,INN,2,2
200103,INN,2,3
200103,KLU,1,1
200103,KLU,1,2
200103,KLU,2,1
200103,KLU,2,2
200103,KLU,2,3
200103,LNZ,1,1
200103,LNZ,1,2
200103,LNZ,1,3
200103,LNZ,2,1
200103,LNZ,2,2
200103,LNZ,2,3
200103,SZG,1,1
200103,SZG,1,2
200103,SZG,1,3
200103,SZG,2,1
200103,SZG,2,2
200103,SZG,2,3
200104,VIE,1,1
200104,VIE,1,2
200104,VIE,1,3
200104,VIE,2,1
200104,VIE,2,2
200104,VIE,2,3
200104,GRZ,1,1
200104,GRZ,1,2
200104,GRZ,1,3
200104,GRZ,2,1
200104,GRZ,2,2
200104,GRZ,2,3
200104,INN,1,1
200104,INN,1,2
200104,INN,1,3
200104,INN,2,1
200104,INN,2,2
200104,INN,2,3
200104,KLU,1,1
200104,KLU,1,2
200104,KLU,2,1
200104,KLU,2,2
200104,KLU,2,3
200104,LNZ,1,1
200104,LNZ,1,2
200104,LNZ,1,3
200104,LNZ,2,1
200104,LNZ,2,2
200104,LNZ,2,3
200104,SZG,1,1
200104,SZG,1,2
200104,SZG,1,3
200104,SZG,2,1
200104,SZG,2,2
200104,SZG,2,3
200105,VIE,1,1
200105,VIE,1,2
200105,VIE,1,3
200105,VIE,2,1
200105,VIE,2,2
200105,VIE,2,3
200105,GRZ,1,1
200105,GRZ,1,2
200105,GRZ,1,3
200105,GRZ,2,1
200105,GRZ,2,2
200105,GRZ,2,3
200105,INN,1,1
200105,INN,1,2
200105,INN,1,3
200105,INN,2,1
200105,INN,2,2
200105,INN,2,3
200105,KLU,1,1
200105,KLU,1,2
200105,KLU,1,3
200105,KLU,2,1
200105,KLU,2,2
200105,KLU,2,3
200105,LNZ,1,1
200105,LNZ,1,2
200105,LNZ,1,3
200105,LNZ,2,1
200105,LNZ,2,2
200105,LNZ,2,3
200105,SZG,1,1
200105,SZG,1,2
200105,SZG,1,3
200105,SZG,2,1
200105,SZG,2,2
200105,SZG,2,3
200106,VIE,1,1
200106,VIE,1,2
200106,VIE,1,3
200106,VIE,2,1
200106,VIE,2,2
200106,VIE,2,3
200106,GRZ,1,1
200106,GRZ,1,2
200106,GRZ,1,3
200106,GRZ,2,1
200106,GRZ,2,2
200106,GRZ,2,3
200106,INN,1,1
200106,INN,1,2
200106,INN,1,3
200106,INN,2,1
200106,INN,2,2
200106,INN,2,3
200106,KLU,1,1
200106,KLU,1,2
200106,KLU,2,1
200106,KLU,2,2
200106,KLU,2,3
200106,LNZ,1,1
200106,LNZ,1,2
200106,LNZ,1,3
200106,LNZ,2,1
200106,LNZ,2,2
200106,LNZ,2,3
200106,SZG,1,1
200106,SZG,1,2
200106,SZG,1,3
200106,SZG,2,1
200106,SZG,2,2
200106,SZG,2,3
200107,VIE,1,1
200107,VIE,1,2
200107,VIE,1,3
200107,VIE,2,1
200107,VIE,2,2
200107,VIE,2,3
200107,GRZ,1,1
200107,GRZ,1,2
200107,GRZ,1,3
200107,GRZ,2,1
200107,GRZ,2,2
200107,GRZ,2,3
200107,INN,1,1
200107,INN,1,2
200107,INN,1,3
200107,INN,2,1
200107,INN,2,2
200107,INN,2,3
200107,KLU,1,1
200107,KLU,1,2
200107,KLU,2,1
200107,KLU,2,2
200107,KLU,2,3
200107,LNZ,1,1
200107,LNZ,1,2
200107,LNZ,1,3
200107,LNZ,2,1
200107,LNZ,2,2
200107,LNZ,2,3
200107,SZG,1,1
200107,SZG,1,2
200107,SZG,1,3
200107,SZG,2,1
200107,SZG,2,2
200107,SZG,2,3
200108,VIE,1,1
200108,VIE,1,2
200108,VIE,1,3
200108,VIE,2,1
200108,VIE,2,2
200108,VIE,2,3
200108,GRZ,1,1
200108,GRZ,1,2
200108,GRZ,1,3
200108,GRZ,2,1
200108,GRZ,2,2
200108,GRZ,2,3
200108,INN,1,1
200108,INN,1,2
200108,INN,1,3
200108,INN,2,1
200108,INN,2,2
200108,INN,2,3
200108,KLU,1,1
200108,KLU,1,2
200108,KLU,2,1
200108,KLU,2,2
200108,KLU,2,3
200108,LNZ,1,1
200108,LNZ,1,2
200108,LNZ,1,3
200108,LNZ,2,1
200108,LNZ,2,2
200108,LNZ,2,3
200108,SZG,1,1
200108,SZG,1,2
200108,SZG,1,3
200108,SZG,2,1
200108,SZG,2,2
200108,SZG,2,3
200109,VIE,1,1
200109,VIE,1,2
200109,VIE,1,3
200109,VIE,2,1
200109,VIE,2,2
200109,VIE,2,3
200109,GRZ,1,1
200109,GRZ,1,2
200109,GRZ,1,3
200109,GRZ,2,1
200109,GRZ,2,2
200109,GRZ,2,3
200109,INN,1,1
200109,INN,1,2
200109,INN,1,3
200109,INN,2,1
200109,INN,2,2
200109,INN,2,3
200109,KLU,1,1
200109,KLU,1,2
200109,KLU,2,1
200109,KLU,2,2
200109,KLU,2,3
200109,LNZ,1,1
200109,LNZ,1,2
200109,LNZ,1,3
200109,LNZ,2,1
200109,LNZ,2,2
200109,LNZ,2,3
200109,SZG,1,1
200109,SZG,1,2
200109,SZG,1,3
200109,SZG,2,1
200109,SZG,2,2
200109,SZG,2,3
200110,VIE,1,1
200110,VIE,1,2
200110,VIE,1,3
200110,VIE,2,1
200110,VIE,2,2
200110,VIE,2,3
200110,GRZ,1,1
200110,GRZ,1,2
200110,GRZ,1,3
200110,GRZ,2,1
200110,GRZ,2,2
200110,GRZ,2,3
200110,INN,1,1
200110,INN,1,2
200110,INN,1,3
200110,INN,2,1
200110,INN,2,2
200110,INN,2,3
200110,KLU,1,1
200110,KLU,1,2
200110,KLU,2,1
200110,KLU,2,2
200110,KLU,2,3
200110,LNZ,1,1
200110,LNZ,1,2
200110,LNZ,1,3
200110,LNZ,2,1
200110,LNZ,2,2
200110,LNZ,2,3
200110,SZG,1,1
200110,SZG,1,2
200110,SZG,1,3
200110,SZG,2,1
200110,SZG,2,2
200110,SZG,2,3
200111,VIE,1,1
200111,VIE,1,2
200111,VIE,1,3
200111,VIE,2,1
200111,VIE,2,2
200111,VIE,2,3
200111,GRZ,1,1
200111,GRZ,1,2
200111,GRZ,1,3
200111,GRZ,2,1
200111,GRZ,2,2
200111,GRZ,2,3
200111,INN,1,1
200111,INN,1,2
200111,INN,1,3
200111,INN,2,1
200111,INN,2,2
200111,INN,2,3
200111,KLU,1,1
200111,KLU,1,2
200111,KLU,2,1
200111,KLU,2,2
200111,LNZ,1,1
200111,LNZ,1,2
200111,LNZ,1,3
200111,LNZ,2,1
200111,LNZ,2,2
200111,LNZ,2,3
200111,SZG,1,1
200111,SZG,1,2
200111,SZG,1,3
200111,SZG,2,1
200111,SZG,2,2
200111,SZG,2,3
200112,VIE,1,1
200112,VIE,1,2
200112,VIE,1,3
200112,VIE,2,1
200112,VIE,2,2
200112,VIE,2,3
200112,GRZ,1,1
200112,GRZ,1,2
200112,GRZ,1,3
200112,GRZ,2,1
200112,GRZ,2,2
200112,GRZ,2,3
200112,INN,1,1
200112,INN,1,2
200112,INN,1,3
200112,INN,2,1
200112,INN,2,2
200112,INN,2,3
200112,KLU,1,1
200112,KLU,1,2
200112,KLU,2,1
200112,KLU,2,2
200112,LNZ,1,1
200112,LNZ,1,2
200112,LNZ,1,3
200112,LNZ,2,1
200112,LNZ,2,2
200112,LNZ,2,3
200112,SZG,1,1
200112,SZG,1,2
200112,SZG,1,3
200112,SZG,2,1
200112,SZG,2,2
200112,SZG,2,3
200201,VIE,1,1
200201,VIE,1,2
200201,VIE,1,3
200201,VIE,2,1
200201,VIE,2,2
200201,VIE,2,3
200201,GRZ,1,1
200201,GRZ,1,2
200201,GRZ,2,1
200201,GRZ,2,2
200201,GRZ,2,3
200201,INN,1,1
200201,INN,1,2
200201,INN,1,3
200201,INN,2,1
200201,INN,2,2
200201,INN,2,3
200201,KLU,1,1
200201,KLU,1,2
200201,KLU,2,1
200201,KLU,2,2
200201,LNZ,1,1
200201,LNZ,1,2
