F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
6351,316670,3743524,219204,0,2000,1
6376,325509,4000620,365309,325509,2000,1
0,6634,150274,14860,0,2000,1
355,20503,463078,68,0,2000,1
346,20965,412342,61,20965,2000,1
0,2302,136417,472,0,2000,1
464,13887,66281,198,0,2000,1
447,14327,44842,0,14327,2000,1
0,284,25,0,0,2000,1
50,2504,0,0,0,2000,1
64,2421,0,0,2421,2000,1
0,623,0,0,0,2000,1
440,12829,32828,9678,0,2000,1
446,14413,17100,8807,14413,2000,1
0,163,0,0,0,2000,1
210,21020,150,0,0,2000,1
207,18611,0,0,18611,2000,1
0,193,0,0,0,2000,1
248,5698,4932,0,0,2000,1
251,6519,3274,0,6519,2000,1
21,696,0,0,0,2000,1
18,472,0,0,472,2000,1
0,509,0,0,0,2000,1
494,10785,51496,4018,0,2000,1
492,11433,26883,0,11433,2000,1
0,1391,100,0,0,2000,1
94,4674,62289,0,0,2000,1
98,4288,45404,0,4288,2000,1
0,1094,0,0,0,2000,1
667,20662,26968,5917,0,2000,1
662,23726,26974,6017,23726,2000,1
0,2079,831,630,0,2000,1
235,29668,0,0,0,2000,1
240,24970,0,0,24970,2000,1
0,2695,342,0,0,2000,1
6388,340394,4081332,219816,0,2000,2
6385,339228,4579638,362062,339228,2000,2
0,6086,303826,16120,0,2000,2
354,23342,66350,245,0,2000,2
358,24732,48378,1,24732,2000,2
0,2966,23638,840,0,2000,2
465,16723,79539,315,0,2000,2
461,16973,62100,0,16973,2000,2
0,218,0,0,0,2000,2
55,3898,87,0,0,2000,2
58,4180,1060,0,4180,2000,2
0,781,0,0,0,2000,2
429,14438,37957,10772,0,2000,2
432,14361,22657,6470,14361,2000,2
0,91,0,0,0,2000,2
200,20756,0,0,0,2000,2
195,21080,0,235,21080,2000,2
0,263,0,0,0,2000,2
268,7001,5759,0,0,2000,2
272,7077,2180,0,7077,2000,2
21,814,0,0,0,2000,2
17,957,0,0,957,2000,2
0,601,6527,0,0,2000,2
490,13213,61847,4826,0,2000,2
497,13204,22560,194,13204,2000,2
0,1283,231,82,0,2000,2
121,6245,72503,0,0,2000,2
114,6463,45227,0,6463,2000,2
0,1491,0,0,0,2000,2
673,23691,22484,6804,0,2000,2
667,23318,27613,5991,23318,2000,2
0,2537,5980,373,0,2000,2
259,34333,0,0,0,2000,2
265,34128,243,0,34128,2000,2
0,2827,0,0,0,2000,2
7055,412956,4739789,237467,0,2000,3
7064,407828,5335170,383339,407828,2000,3
0,7349,199924,14132,0,2000,3
407,25962,573353,0,0,2000,3
397,27932,424602,0,27932,2000,3
0,2724,25417,1,0,2000,3
535,17958,71395,357,0,2000,3
533,17717,56347,0,17717,2000,3
0,203,0,0,0,2000,3
49,3284,250,0,0,2000,3
50,3529,2150,0,3529,2000,3
0,835,0,0,0,2000,3
498,15475,36206,9257,0,2000,3
494,16267,25949,7391,16267,2000,3
0,29,0,0,0,2000,3
171,15205,0,0,0,2000,3
173,18693,0,0,18693,2000,3
0,224,0,0,0,2000,3
293,7598,5144,0,0,2000,3
295,7592,2627,0,7592,2000,3
13,480,0,0,0,2000,3
11,631,0,0,631,2000,3
0,299,0,0,0,2000,3
559,14399,49623,6046,0,2000,3
566,14110,15249,0,14110,2000,3
0,1511,57,0,0,2000,3
137,7434,79337,0,0,2000,3
127,8544,48170,0,8544,2000,3
0,1744,0,0,0,2000,3
719,23999,23472,7229,0,2000,3
711,24651,28580,7320,24651,2000,3
0,2485,1027,368,0,2000,3
243,24221,0,0,0,2000,3
248,30440,272,0,30440,2000,3
0,3561,0,0,0,2000,3
7065,425364,4371175,236986,0,2000,4
7037,429479,4844474,382019,429479,2000,4
0,7912,268171,13693,0,2000,4
562,51546,25408,66,0,2000,4
602,57456,211476,169,57456,2000,4
0,2371,42722,100,0,2000,4
547,17876,65777,226,0,2000,4
544,18180,26923,1,18180,2000,4
0,300,2475,0,0,2000,4
89,6655,613,0,0,2000,4
92,7888,0,0,7888,2000,4
0,2055,0,0,0,2000,4
547,12517,26436,6961,0,2000,4
552,13506,21439,7242,13506,2000,4
0,127,0,0,0,2000,4
80,4317,0,0,0,2000,4
73,7064,0,0,7064,2000,4
0,257,0,0,0,2000,4
269,7320,3806,0,0,2000,4
271,7249,2088,7,7249,2000,4
16,1088,0,0,0,2000,4
